# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	3	12	31	2065	0	0	945	0	1	31	0	0	3	0	0	11	1120
M	GU280_gp05	GU280_gp05	protein_coding	10	24	100	1928	0	0	804	0	1	100	0	0	10	0	0	23	1124
N	GU280_gp10	GU280_gp10	protein_coding	34	71	323	1331	0	0	130	1	0	323	0	2	32	0	0	71	1201
ORF10	GU280_gp11	GU280_gp11	protein_coding	3	10	40	1379	0	0	69	0	0	40	1	1	1	1	0	10	1310
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	390	981	4000	1183	0	0	1123	0	0	4000	4	0	389	1	0	981	60
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	233	610	2388	1419	0	0	1359	0	0	2388	1	0	232	1	0	610	60
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	7	37	109	1355	0	0	1295	0	0	109	0	0	7	0	0	37	60
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	52	107	352	1338	0	0	1125	0	0	352	2	0	52	0	0	107	213
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	95	227	980	2000	0	0	1276	0	0	980	0	0	95	0	0	227	724
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	14	56	216	2407	0	0	1395	0	0	216	2	0	14	0	0	56	1012
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	20	63	227	2325	0	0	1324	0	0	227	2	0	20	0	0	63	1001
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	10	33	138	2457	0	0	1389	0	0	138	0	0	10	0	0	33	1068
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	5	17	60	2456	0	0	1359	0	0	60	1	0	5	0	0	17	1097
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	13	31	118	2523	0	0	1364	0	0	118	2	0	13	0	0	31	1159
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	8	14	75	2555	0	0	1348	0	0	75	0	0	8	0	0	14	1207
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	8	23	108	2578	0	0	1354	0	0	108	0	0	8	0	0	23	1224
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	51	126	564	2625	0	0	1346	0	0	564	4	0	51	0	0	126	1279
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	30	94	352	2514	0	0	1176	0	0	352	2	0	30	0	0	94	1338
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	40	83	408	2390	0	0	1037	0	0	408	0	0	40	0	0	83	1353
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	19	37	143	2550	0	0	1136	0	0	143	0	0	19	0	0	37	1414
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	17	33	150	2473	0	0	1124	0	0	150	1	0	17	0	0	33	1349
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	2	5	2637	0	0	1358	0	0	5	1	0	0	0	0	2	1279
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	7	37	109	1355	0	0	1295	0	0	109	0	0	7	0	0	37	60
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	52	107	352	1338	0	0	1125	0	0	352	2	0	52	0	0	107	213
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	95	227	980	2000	0	0	1276	0	0	980	0	0	95	0	0	227	724
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	14	56	216	2407	0	0	1395	0	0	216	2	0	14	0	0	56	1012
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	20	63	227	2325	0	0	1324	0	0	227	2	0	20	0	0	63	1001
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	10	33	138	2457	0	0	1389	0	0	138	0	0	10	0	0	33	1068
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	5	17	60	2456	0	0	1359	0	0	60	1	0	5	0	0	17	1097
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	13	31	118	2523	0	0	1364	0	0	118	2	0	13	0	0	31	1159
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	8	14	75	2555	0	0	1348	0	0	75	0	0	8	0	0	14	1207
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	8	23	108	2578	0	0	1354	0	0	108	0	0	8	0	0	23	1224
ORF3a	GU280_gp03	GU280_gp03	protein_coding	14	31	144	2098	0	0	997	0	0	144	1	0	14	0	1	30	1101
ORF6	GU280_gp06	GU280_gp06	protein_coding	1	5	19	1905	0	0	776	0	0	19	0	0	1	0	0	5	1129
ORF7a	GU280_gp07	GU280_gp07	protein_coding	11	19	74	1798	0	0	672	0	0	74	0	1	10	0	0	19	1126
ORF7b	GU280_gp08	GU280_gp08	protein_coding	1	2	8	1827	0	0	661	0	0	8	0	0	1	0	0	2	1166
ORF8	GU280_gp09	GU280_gp09	protein_coding	13	18	71	1722	1	0	559	0	0	70	1	1	11	1	0	18	1163
S	GU280_gp02	GU280_gp02	protein_coding	50	150	661	2508	0	1	1191	0	1	660	0	0	50	0	0	149	1317
